(1, 1, 2)
(1, 1, 22)
(1, 1, 42)
(1, 1, 222)
(1, 1, 242)
(1, 1, 422)
(1, 1, 442)
(1, 2, 1)
(1, 2, 21)
(1, 2, 221)
(1, 6, 37)
(1, 17, 26)
(1, 21, 2)
(1, 21, 202)
(1, 22, 1)
(1, 22, 201)
(1, 26, 17)
(1, 37, 6)
(1, 42, 1)
(1, 201, 22)
(1, 202, 21)
(1, 221, 2)
(1, 222, 1)
(1, 242, 1)
(1, 422, 1)
(1, 442, 1)
(2, 1, 1)
(2, 1, 21)
(2, 1, 221)
(2, 3, 37)
(2, 8, 14)
(2, 11, 11)
(2, 14, 8)
(2, 21, 1)
(2, 31, 391)
(2, 37, 3)
(2, 58, 364)
(2, 101, 121)
(2, 121, 101)
(2, 221, 1)
(2, 364, 58)
(2, 391, 31)
(3, 2, 37)
(3, 4, 37)
(3, 37, 2)
(3, 37, 4)
(3, 37, 202)
(3, 108, 131)
(3, 131, 108)
(3, 202, 37)
(4, 3, 37)
(4, 4, 14)
(4, 14, 4)
(4, 27, 393)
(4, 29, 209)
(4, 37, 3)
(4, 58, 182)
(4, 59, 179)
(4, 179, 59)
(4, 182, 58)
(4, 209, 29)
(4, 393, 27)
(6, 1, 37)
(6, 37, 1)
(7, 29, 208)
(7, 104, 333)
(7, 208, 29)
(7, 333, 104)
(8, 2, 14)
(8, 14, 2)
(8, 96, 318)
(8, 318, 96)
(11, 2, 11)
(11, 11, 2)
(11, 11, 202)
(11, 202, 11)
(13, 98, 333)
(13, 333, 98)
(14, 2, 8)
(14, 4, 4)
(14, 8, 2)
(14, 44, 364)
(14, 364, 44)
(17, 1, 26)
(17, 26, 1)
(18, 37, 367)
(18, 74, 332)
(18, 332, 74)
(18, 367, 37)
(21, 1, 2)
(21, 1, 202)
(21, 2, 1)
(21, 202, 1)
(22, 1, 1)
(22, 1, 201)
(22, 77, 143)
(22, 91, 111)
(22, 98, 104)
(22, 101, 101)
(22, 104, 98)
(22, 111, 91)
(22, 143, 77)
(22, 201, 1)
(26, 1, 17)
(26, 17, 1)
(26, 77, 121)
(26, 121, 77)
(27, 4, 393)
(27, 393, 4)
(29, 4, 209)
(29, 7, 208)
(29, 208, 7)
(29, 209, 4)
(31, 2, 391)
(31, 391, 2)
(32, 49, 143)
(32, 143, 49)
(34, 38, 172)
(34, 172, 38)
(37, 1, 6)
(37, 2, 3)
(37, 3, 2)
(37, 3, 4)
(37, 3, 202)
(37, 4, 3)
(37, 6, 1)
(37, 18, 367)
(37, 39, 168)
(37, 42, 143)
(37, 143, 42)
(37, 168, 39)
(37, 202, 3)
(37, 367, 18)
(38, 34, 172)
(38, 172, 34)
(39, 37, 168)
(39, 168, 37)
(42, 1, 1)
(42, 37, 143)
(42, 91, 111)
(42, 111, 91)
(42, 143, 37)
(44, 14, 364)
(44, 364, 14)
(46, 87, 111)
(46, 111, 87)
(48, 83, 111)
(48, 111, 83)
(49, 32, 143)
(49, 143, 32)
(58, 2, 364)
(58, 4, 182)
(58, 182, 4)
(58, 364, 2)
(59, 4, 179)
(59, 179, 4)
(74, 18, 332)
(74, 332, 18)
(77, 22, 143)
(77, 26, 121)
(77, 118, 247)
(77, 121, 26)
(77, 143, 22)
(77, 143, 202)
(77, 143, 222)
(77, 202, 143)
(77, 222, 143)
(77, 247, 118)
(83, 48, 111)
(83, 111, 48)
(84, 162, 178)
(84, 178, 162)
(87, 46, 111)
(87, 111, 46)
(88, 142, 194)
(88, 194, 142)
(89, 112, 243)
(89, 144, 189)
(89, 189, 144)
(89, 243, 112)
(91, 22, 111)
(91, 42, 111)
(91, 111, 22)
(91, 111, 42)
(91, 111, 222)
(91, 111, 242)
(91, 222, 111)
(91, 242, 111)
(96, 8, 318)
(96, 318, 8)
(98, 13, 333)
(98, 22, 104)
(98, 104, 22)
(98, 333, 13)
(101, 2, 121)
(101, 22, 101)
(101, 101, 22)
(101, 121, 2)
(104, 7, 333)
(104, 22, 98)
(104, 98, 22)
(104, 333, 7)
(108, 3, 131)
(108, 131, 3)
(111, 22, 91)
(111, 42, 91)
(111, 46, 87)
(111, 48, 83)
(111, 83, 48)
(111, 87, 46)
(111, 91, 22)
(111, 91, 42)
(111, 91, 222)
(111, 91, 242)
(111, 222, 91)
(111, 242, 91)
(112, 89, 243)
(112, 243, 89)
(118, 77, 247)
(118, 247, 77)
(121, 2, 101)
(121, 26, 77)
(121, 77, 26)
(121, 101, 2)
(131, 3, 108)
(131, 108, 3)
(142, 88, 194)
(142, 194, 88)
(143, 22, 77)
(143, 32, 49)
(143, 37, 42)
(143, 42, 37)
(143, 49, 32)
(143, 77, 22)
(143, 77, 202)
(143, 77, 222)
(143, 202, 77)
(143, 222, 77)
(144, 89, 189)
(144, 189, 89)
(162, 84, 178)
(162, 178, 84)
(168, 37, 39)
(168, 39, 37)
(172, 34, 38)
(172, 38, 34)
(178, 84, 162)
(178, 162, 84)
(179, 4, 59)
(179, 59, 4)
(182, 4, 58)
(182, 58, 4)
(189, 89, 144)
(189, 144, 89)
(194, 88, 142)
(194, 142, 88)
(201, 1, 22)
(201, 22, 1)
(202, 1, 21)
(202, 3, 37)
(202, 11, 11)
(202, 21, 1)
(202, 37, 3)
(202, 77, 143)
(202, 143, 77)
(208, 7, 29)
(208, 29, 7)
(209, 4, 29)
(209, 29, 4)
(221, 1, 2)
(221, 2, 1)
(222, 1, 1)
(222, 77, 143)
(222, 91, 111)
(222, 111, 91)
(222, 143, 77)
(242, 1, 1)
(242, 91, 111)
(242, 111, 91)
(243, 89, 112)
(243, 112, 89)
(247, 77, 118)
(247, 118, 77)
(318, 8, 96)
(318, 96, 8)
(332, 18, 74)
(332, 74, 18)
(333, 7, 104)
(333, 13, 98)
(333, 98, 13)
(333, 104, 7)
(364, 2, 58)
(364, 14, 44)
(364, 44, 14)
(364, 58, 2)
(367, 18, 37)
(367, 37, 18)
(391, 2, 31)
(391, 31, 2)
(393, 4, 27)
(393, 27, 4)
(422, 1, 1)
(442, 1, 1)
